title,author,description,clean_desc,genres,desc_length,rating,num_ratings,reviews,isbn
Flirting in Italian,Lauren Henderson,"Four girls. One magical, and possibly dangerous Italian summer. Family mysteries, ancient castles, long hot nights of dancing under the stars . . . and, of course, plenty of gorgeous Italian boys!",four girls one magical and possibly dangerous italian summer family mysteries ancient castles long hot nights of dancing under the stars and of course plenty of gorgeous italian boys,"['Young Adult', 'Romance', 'Contemporary', 'Travel', 'Cultural', 'Italy', 'Womens Fiction', 'Chick Lit', 'Mystery', 'Realistic Fiction', 'Fiction', 'Young Adult', 'Young Adult Romance']",182,3.57,2862,342,385741359
Island,Peter Lerangis,"A mysterious boy draws an innocent girl to a nefarious island where no one ever ages. From the first page, this story grabs readers with realistic action and supernatural thrills.",a mysterious boy draws an innocent girl to a nefarious island where no one ever ages from the first page this story grabs readers with realistic action and supernatural thrills,"['Science Fiction', 'Fiction', 'Mystery', 'Fantasy', 'Paranormal', 'Fantasy', 'Young Adult']",176,3.85,74,2,590115006
The Wolves of Savernake,Edward  Marston,"""An artful and evocative adventure steeped in local humor, lore, and legend of eleventh-century England."",--Booklist,DOMESDAY IS COMING,In 1086 England's mighty king, William the Conqueror, sends out surveyors and census takers to record the resources of his land and its people. Some welcome these inquisitive royal agents and their ""day of judgment."" Others hate them. But wherever the king's men go they bring excitement, and sometimes murder....,In ancient Bedwyn town, the king's Domesday researchers are suddenly faced with the violent death of the very man whose claims have drawn them there--a wealthy miller, savaged by a wolf in Savernake Forest.,Now two clever king's men, soldier Ralph Delchard and lawyer Gervase Bret, must investigate not only questionable land claims but the miller's death as well. Have well-fed monks of Bedwyn Abbey somehow contrived the man's demise? Has his soft-eyed wife betrayed him? Is the dreaded Savernake wolf the familiar of the town witch, or is it the hound of heaven? No one knows except a dead man....,""A story that invites comparison to the crystalline novels of Ellis Peters."",--Kirkus Reviews",an artful and evocative adventure steeped in local humor lore and legend of eleventhcentury englandbooklistdomesday is comingin 1086 englands mighty king william the conqueror sends out surveyors and census takers to record the resources of his land and its people some welcome these inquisitive royal agents and their day of judgment others hate them but wherever the kings men go they bring excitement and sometimes murderin ancient bedwyn town the kings domesday researchers are suddenly faced with the violent death of the very man whose claims have drawn them therea wealthy miller savaged by a wolf in savernake forestnow two clever kings men soldier ralph delchard and lawyer gervase bret must investigate not only questionable land claims but the millers death as well have wellfed monks of bedwyn abbey somehow contrived the mans demise has his softeyed wife betrayed him is the dreaded savernake wolf the familiar of the town witch or is it the hound of heaven no one knows except a dead mana story that invites comparison to the crystalline novels of ellis peterskirkus reviews,"['Mystery', 'Historical', 'Historical Fiction', 'Mystery', 'Historical Mystery', 'Historical', 'Medieval', 'Fiction', 'Historical', 'Literature', '11th Century', 'European Literature', 'British Literature', 'Mystery', 'Crime', 'Thriller', 'Mystery Thriller']",1088,3.85,819,59,449223108
Scared Stiff,Annelise Ryan,"When Deputy Coroner Mattie Winston and her boss/best friend, Izzy, are called to the home of waitress and part-time model Shannon Tolliver, they find the ghoulish Halloween decorations a bit too authentic. Among the fake blood and skeletons is the corpse of Shannon herself. Since the whole town knows Shannon recently had a very public spat with her estranged husband, Erik, he's suspect #1. But Mattie happens to know Erik truly loved his wife, and is simply incapable of the brutal act-even if he owns the exact same caliber handgun as the murder weapon. . .,Determined to unearth the truth, Mattie puts her scalpel-sharp medical skills to work, and digs a little deeper. What she uncovers is stranger than anyone could have imagined.",when deputy coroner mattie winston and her bossbest friend izzy are called to the home of waitress and parttime model shannon tolliver they find the ghoulish halloween decorations a bit too authentic among the fake blood and skeletons is the corpse of shannon herself since the whole town knows shannon recently had a very public spat with her estranged husband erik hes suspect 1 but mattie happens to know erik truly loved his wife and is simply incapable of the brutal acteven if he owns the exact same caliber handgun as the murder weapon determined to unearth the truth mattie puts her scalpelsharp medical skills to work and digs a little deeper what she uncovers is stranger than anyone could have imagined,"['Mystery', 'Mystery', 'Cozy Mystery', 'Fiction', 'Holiday', 'Halloween', 'Humor', 'Thriller', 'Mystery Thriller', 'Romance', 'Contemporary', 'Womens Fiction', 'Chick Lit', 'Holiday']",713,4.03,1795,202,758234554
Skeleton Key,Anthony Horowitz,"Alex Rider has been through a lot for his fourteen years. He's been shot at by international terrorists, chased down a mountainside on a makeshift snowboard, and has stood face-to-face with pure evil. Twice, young Alex has managed to save the world. And twice, he has almost been killed doing it. But now Alex faces something even more dangerous. The desperation of a man who has lost everything he cared for: his country and his only son. A man who just happens to have a nuclear weapon and a serious grudge against the free world. To see his beloved Russia once again be a dominant power, he will stop at nothing. Unless Alex can stop him first... Uniting forces with America's own CIA for the first time, teen spy Alex Rider battles terror from the sun-baked beaches of Miami all the way to the barren ice fields of northernmost Russia. Come along for the thrilling ride of a lifetime.",alex rider has been through a lot for his fourteen years hes been shot at by international terrorists chased down a mountainside on a makeshift snowboard and has stood facetoface with pure evil twice young alex has managed to save the world and twice he has almost been killed doing it but now alex faces something even more dangerous the desperation of a man who has lost everything he cared for his country and his only son a man who just happens to have a nuclear weapon and a serious grudge against the free world to see his beloved russia once again be a dominant power he will stop at nothing unless alex can stop him first uniting forces with americas own cia for the first time teen spy alex rider battles terror from the sunbaked beaches of miami all the way to the barren ice fields of northernmost russia come along for the thrilling ride of a lifetime,"['Young Adult', 'Fiction', 'Adventure', 'Spy Thriller', 'Espionage', 'Mystery', 'Action', 'Thriller', 'Childrens', 'Childrens', 'Middle Grade', 'Young Adult', 'Teen']",863,4.07,49728,1495,142406147
When She Was Wicked,Anne  Barton,"Some rules simply beg to be broken...,A dressmaker in London's busiest shop, Miss Anabelle Honeycote overhears the ,ton,'s steamiest secretsâ€”and (occasionally) uses them to her advantage. It isn't something she's proud of, but the reluctant blackmailer needs the money to care for her gravely ill mother. To make up for her misdeeds, Anabelle keeps to a firm set of rules:,â€¢ Never request payment from someone who cannot afford it.,â€¢ Never reveal the secrets of a paying client.,â€¢ Never enter into any form of social interaction with a client.,Her list keeps her (somewhat) honestâ€”until she encounters Owen Sherbourne, the Duke of Huntford. Not only does Owen nip Anabelle's extortion plans in the bud, the devilishly handsome Duke soon has the sexy seamstress dreaming of more than silks and satins. With Owen, Anabelle enjoys pleasures she never imagined . . . until a scandal from the past resurfaces. Now her rules could mean his family's ruin. Owen's searing kisses carry the promise of passion, but how will he react when Anabelle's most devastating secret is finally revealed?",some rules simply beg to be brokena dressmaker in londons busiest shop miss anabelle honeycote overhears the tons steamiest secretsand occasionally uses them to her advantage it isnt something shes proud of but the reluctant blackmailer needs the money to care for her gravely ill mother to make up for her misdeeds anabelle keeps to a firm set of rules never request payment from someone who cannot afford it never reveal the secrets of a paying client never enter into any form of social interaction with a clienther list keeps her somewhat honestuntil she encounters owen sherbourne the duke of huntford not only does owen nip anabelles extortion plans in the bud the devilishly handsome duke soon has the sexy seamstress dreaming of more than silks and satins with owen anabelle enjoys pleasures she never imagined until a scandal from the past resurfaces now her rules could mean his familys ruin owens searing kisses carry the promise of passion but how will he react when anabelles most devastating secret is finally revealed,"['Romance', 'Historical Romance', 'Romance', 'Historical', 'Historical', 'Regency', 'Historical', 'Historical Fiction', 'Adult', 'Fiction', 'Historical Romance', 'Regency Romance', 'European Literature', 'British Literature', 'Mystery']",1032,3.78,908,136,1455513326
The Woman Who Died a Lot,Jasper Fforde,"The BookWorld's leading enforcement officer Thursday Next is four months into an enforced semi-retirement following an assassination attempt. She returns home to Swindon for what you'd expect to be a time of recuperation. If only life were that simple.,Thursday is faced with an array of family problems - son Friday's lack of focus since his career in the Chronoguard was relegated to a might-have-been, daughter Tuesday's difficulty perfecting the Anti-Smote shield needed to thwart an angry Deity's promise to wipe Swindon off the face of the earth, and Jenny, who doesn't exist.,And that's not all. With Goliath attempting to replace Thursday at every opportunity with synthetic Thursdays, the prediction that Friday's Destiny-Aware colleagues will die in mysterious circumstances, and a looming meteorite that could destroy all human life on earth, Thursday's retirement is going to be anything but easy.",the bookworlds leading enforcement officer thursday next is four months into an enforced semiretirement following an assassination attempt she returns home to swindon for what youd expect to be a time of recuperation if only life were that simplethursday is faced with an array of family problems son fridays lack of focus since his career in the chronoguard was relegated to a mighthavebeen daughter tuesdays difficulty perfecting the antismote shield needed to thwart an angry deitys promise to wipe swindon off the face of the earth and jenny who doesnt existand thats not all with goliath attempting to replace thursday at every opportunity with synthetic thursdays the prediction that fridays destinyaware colleagues will die in mysterious circumstances and a looming meteorite that could destroy all human life on earth thursdays retirement is going to be anything but easy,"['Fantasy', 'Fiction', 'Mystery', 'Humor', 'Science Fiction', 'Writing', 'Books About Books', 'Science Fiction Fantasy', 'Science Fiction', 'Alternate History', 'Science Fiction', 'Time Travel', 'Audiobook']",879,4.07,13055,1521,340963115
Spells & Stitches,Barbara Bretton,"
  ,
    ,In the latest novel from the ,USA Today, bestselling author, raising a baby is hard, but raising one with magical powers is even harder... ,
  ,
  ,Sugar Maple, Vermont, knitting store owner Chloe Hobbs couldn't be happier about her pregnancy. But with the arrival of the town's newest resident, things are about to get a lot more magical.,
  ,Baby Laria is six pounds, eleven ounces of perfect, and Chloe and Luke are over the moon. But when they learn that Laria takes after her mom in the sorcery department, it becomes clear that their baby might have more power than even a pro like Chloe can handle...,
",in the latest novel from the usa today bestselling author raising a baby is hard but raising one with magical powers is even harder sugar maple vermont knitting store owner chloe hobbs couldnt be happier about her pregnancy but with the arrival of the towns newest resident things are about to get a lot more magical baby laria is six pounds eleven ounces of perfect and chloe and luke are over the moon but when they learn that laria takes after her mom in the sorcery department it becomes clear that their baby might have more power than even a pro like chloe can handle,"['Fantasy', 'Paranormal', 'Romance', 'Fantasy', 'Mystery', 'Fiction', 'Crafts', 'Knitting', 'Paranormal', 'Witches', 'Mystery', 'Cozy Mystery', 'Womens Fiction', 'Chick Lit', 'Fantasy', 'Magic']",573,3.84,901,121,042524105X
My Hands Came Away Red,Lisa  McKay,"Cori signs up for a mission trip to Indonesia during the summer after her senior year of high school. Inspired by happy visions of building churches and seeing beautiful beaches, she gladly escapes her complicated love life back home. ,Six weeks into the trip, a conflict that has been simmering for years flames to deadly life on the nearby island of Ambon. Before they can leave, Cori and her teammates find themselves caught up in the destructive wave of violence washing over the Christian and Muslim villages in the area. Within days the church they helped build is a smoldering pile of ashes, its pastor and many of the villagers are dead, and the six teenagers are forced to flee into the hazardous refuge of the jungle with only the pastor's son to guide them. ,Lisa McKay is a forensic psychologist who combines her world-traveling experiences with her training expertise to weave a character driven story that will become a part of you.",cori signs up for a mission trip to indonesia during the summer after her senior year of high school inspired by happy visions of building churches and seeing beautiful beaches she gladly escapes her complicated love life back home six weeks into the trip a conflict that has been simmering for years flames to deadly life on the nearby island of ambon before they can leave cori and her teammates find themselves caught up in the destructive wave of violence washing over the christian and muslim villages in the area within days the church they helped build is a smoldering pile of ashes its pastor and many of the villagers are dead and the six teenagers are forced to flee into the hazardous refuge of the jungle with only the pastors son to guide them lisa mckay is a forensic psychologist who combines her worldtraveling experiences with her training expertise to weave a character driven story that will become a part of you,"['Christian Fiction', 'Fiction', 'Christian', 'Young Adult', 'Contemporary', 'Adventure', 'Adult Fiction', 'Suspense', 'Novels', 'Cultural', 'Asia']",931,4.27,875,148,802489826
The Bloody Wood,Michael Innes,"An assorted party of guests have gathered at Charne, home of Charles Martineau and his ailing wife, Grace, including Sir John Appleby and his wife, Judith. Appleby's suspicions are soon aroused with the odd behaviour of Charles, and the curious last request of Grace - who desires that upon her death, Charles marries her favourite niece, Martine. When Charles and Grace die on the same day, foul play is suspected.",an assorted party of guests have gathered at charne home of charles martineau and his ailing wife grace including sir john appleby and his wife judith applebys suspicions are soon aroused with the odd behaviour of charles and the curious last request of grace who desires that upon her death charles marries her favourite niece martine when charles and grace die on the same day foul play is suspected,"['Mystery', 'Fiction', 'Mystery', 'Crime', 'European Literature', 'British Literature']",401,3.38,96,12,1842327259
Midnight Bayou,Nora Roberts,"#1 ,New York Times, bestselling author Nora Roberts presents a novel set deep in the bayou of Louisianaâ€”where the only witness to a long-ago tragedy is a once-grand houseâ€¦Â ,Declan Fitzgerald had always been the family maverick, but even he couldn't understand his impulse to buy a dilapidated mansion on the outskirts of New Orleans. All he knew was that ever since he first saw Manet Hall, he'd been enchanted-and obsessed-with it. So when the opportunity to buy the house comes up, Declan jumps at the chance to live out a dream.,Determined to restore Manet Hall to its former splendor, Declan begins the daunting renovation room by room, relying on his own labor and skills. But the days spent in total isolation in the empty house take a toll. He is seeing visions of days from a century past, and experiencing sensations of terror and nearly unbearable grief-sensations not his own, but those of a stranger. Local legend has it that the house is haunted, and with every passing day Declan's belief in the ghostly presence grows.,Only the companionship of alluring Angelina Simone can distract him from the mysterious happenings in the house, but Angelina too has her own surprising connection to Manet Hall-a connection that will help Declan uncover a secret that's been buried for a hundred years.",1 new york times bestselling author nora roberts presents a novel set deep in the bayou of louisianawhere the only witness to a longago tragedy is a oncegrand house declan fitzgerald had always been the family maverick but even he couldnt understand his impulse to buy a dilapidated mansion on the outskirts of new orleans all he knew was that ever since he first saw manet hall hed been enchantedand obsessedwith it so when the opportunity to buy the house comes up declan jumps at the chance to live out a dreamdetermined to restore manet hall to its former splendor declan begins the daunting renovation room by room relying on his own labor and skills but the days spent in total isolation in the empty house take a toll he is seeing visions of days from a century past and experiencing sensations of terror and nearly unbearable griefsensations not his own but those of a stranger local legend has it that the house is haunted and with every passing day declans belief in the ghostly presence growsonly the companionship of alluring angelina simone can distract him from the mysterious happenings in the house but angelina too has her own surprising connection to manet halla connection that will help declan uncover a secret thats been buried for a hundred years,"['Romance', 'Fiction', 'Mystery', 'Fantasy', 'Paranormal', 'Romance', 'Contemporary Romance', 'Romance', 'Romantic Suspense', 'Contemporary', 'Suspense', 'Romance', 'Paranormal Romance', 'Paranormal', 'Ghosts']",1268,3.98,31467,1023,515142867
The Spy's Secret Family,Cindy Dees,"""""Nobody's messing with my baby""""Nick Cass wakes up in a hospital room with a case of amnesia--and a beautiful woman at his bedside. He only remembers that he was held captive for five grueling years. Surely he wouldn't forget someone as easy on the eyes as Laura Delaney. But Laura assures him that she and their son are very real.,Laura never forgot the man who stole her heart six years ago--even after he disappeared. She knows Nick will someday have to face his demons. But that day is suddenly upon them when Nick's past catches up to him and their son is kidnapped. Now he and Laura must rescue their child--and their last chance for a future together.",nobodys messing with my babynick cass wakes up in a hospital room with a case of amnesiaand a beautiful woman at his bedside he only remembers that he was held captive for five grueling years surely he wouldnt forget someone as easy on the eyes as laura delaney but laura assures him that she and their son are very reallaura never forgot the man who stole her heart six years agoeven after he disappeared she knows nick will someday have to face his demons but that day is suddenly upon them when nicks past catches up to him and their son is kidnapped now he and laura must rescue their childand their last chance for a future together,"['Romance', 'Romance', 'Romantic Suspense', 'Contemporary', 'Romance', 'Contemporary Romance', 'Adult', 'Category Romance', 'Harlequin', 'Harlequin', 'Harlequin Romantic Suspense']",637,3.7,70,10,373277431
All I Hold Dear,Jennie Hansen,"He couldn't say how he knew he was being followed. He just knew. Since snow began falling an hour ago, he'd sensed his relentless shadow drawing closer. He laughed mirthlessly at his own expense. He didn't know how he could be so sure someone who meant him harm was following him when he certainly didn't know much else. Not even his name.,Courtney is nursing the wounds of a broken heart, alone in the family cabin on their property in Colorado, when a stranger stumbles through her door. Not far behind him are two desperate men who are prepared to kill, if necessary. But the stranger who calls himself Sam can't remember what vital knowledge he gained-or the terrible price he was forced to pay to keep it out of the wrong hands. Now it could cost both him and Courtney their lives.,All I Hold Dear, is an emotionally-charged romantic adventure from best-selling LDS romance writer ,Jennie L. Hansen,. It will keep you guessing up to the very end!",he couldnt say how he knew he was being followed he just knew since snow began falling an hour ago hed sensed his relentless shadow drawing closer he laughed mirthlessly at his own expense he didnt know how he could be so sure someone who meant him harm was following him when he certainly didnt know much else not even his namecourtney is nursing the wounds of a broken heart alone in the family cabin on their property in colorado when a stranger stumbles through her door not far behind him are two desperate men who are prepared to kill if necessary but the stranger who calls himself sam cant remember what vital knowledge he gainedor the terrible price he was forced to pay to keep it out of the wrong hands now it could cost both him and courtney their livesall i hold dear is an emotionallycharged romantic adventure from bestselling lds romance writer jennie l hansen it will keep you guessing up to the very end,"['Lds', 'Lds Fiction', 'Romance', 'Christianity', 'Lds', 'Romance', 'Clean Romance', 'Suspense', 'Adult', 'Novels', 'Romance', 'Romantic Suspense', 'Christian', 'Adventure']",921,3.93,831,46,1577344774
"Daredevil, Vol. 6: Lowlife","Brian Michael Bendis,Alex Maleev","With the media hounding him after he is outed as Daredevil by a tabloid, Matt Murdoch attempts to cope with his unwanted notoriety as well as his lawsuit against the tabloid, the villainous Owl, and a lovely blind woman named Milla.",with the media hounding him after he is outed as daredevil by a tabloid matt murdoch attempts to cope with his unwanted notoriety as well as his lawsuit against the tabloid the villainous owl and a lovely blind woman named milla,"['Sequential Art', 'Comics', 'Sequential Art', 'Graphic Novels', 'Superheroes', 'Marvel', 'Comics', 'Superheroes', 'Mystery', 'Crime', 'Comics', 'Comic Book', 'Fiction', 'Graphic Novels Comics', 'Fantasy', 'Mystery']",228,4.22,970,32,785111050
Amaryllis,"Jayne Castle,Jayne Ann Krentz","Amaryllis Lark is undeniably beautiful. She's also one of the best psychic detectives on St. Helen's, the earth colony recently cut off from the mother planet, yet not very different from home - a place where love still defies the most incredible odds. Lucas Trent, the rugged head of Lodestar Exploration, isn't keen on the prim and proper type - and, from her neatly buttoned up business suit to her cool evaluation of his request to bust a corporate thief, Amaryllis is EXCRUCIATINGLY proper!,Amaryllis may have psychic powers, but she can't read minds - least of all her own. When a bold hunch leads them from a wild murder investigation to a red-hot love affair, Amaryllis is shocked, Lucas is delighted, - and no power on heaven, earth, or St. Helen's can keep them apart!",amaryllis lark is undeniably beautiful shes also one of the best psychic detectives on st helens the earth colony recently cut off from the mother planet yet not very different from home a place where love still defies the most incredible odds lucas trent the rugged head of lodestar exploration isnt keen on the prim and proper type and from her neatly buttoned up business suit to her cool evaluation of his request to bust a corporate thief amaryllis is excruciatingly properamaryllis may have psychic powers but she cant read minds least of all her own when a bold hunch leads them from a wild murder investigation to a redhot love affair amaryllis is shocked lucas is delighted and no power on heaven earth or st helens can keep them apart,"['Romance', 'Fantasy', 'Paranormal', 'Romance', 'Paranormal Romance', 'Fantasy', 'Science Fiction', 'Futuristic', 'Mystery', 'Romance', 'Science Fiction Romance', 'Fiction', 'Romance', 'Romantic Suspense']",744,4.08,6311,218,671569031
Carolina Moon,Nora Roberts,"From #1 New York Times bestselling author Nora Roberts--an utterly spellbinding tale about a woman who, though battered in both body and spirit, can never lose Hope...Tory Bodeen grew up in South Carolina, in a small run-down house, where her father ruled with an iron fist and a leather belt--and where her dreams and talents had no room to flourish. But she had Hope, who lived in the big house just a short skip away and whose friendship allowed Tory to be something she wasn't allowed to be at home: a child.,After young Hope's brutal murder, unsolved to this day, Tory's life began to fall apart. And now, as she returns to her hometown, with plans to settle in and open a stylish home-design shop, she is determined to find a measure of peace and free herself from the haunting visions of the past. As she forges a new bond with Cade Lavelle--Hope's older brother and the heir to the family fortune--she isn't sure whether the tragic loss they share will unite them or drive them apart. But she is willing to open her heart, just a little, and try.,Living so close to those unhappy memories will be more difficult and frightening than Tory could ever have expected, however. Because Hope's murderer is nearby as well...",from 1 new york times bestselling author nora robertsan utterly spellbinding tale about a woman who though battered in both body and spirit can never lose hopetory bodeen grew up in south carolina in a small rundown house where her father ruled with an iron fist and a leather beltand where her dreams and talents had no room to flourish but she had hope who lived in the big house just a short skip away and whose friendship allowed tory to be something she wasnt allowed to be at home a childafter young hopes brutal murder unsolved to this day torys life began to fall apart and now as she returns to her hometown with plans to settle in and open a stylish homedesign shop she is determined to find a measure of peace and free herself from the haunting visions of the past as she forges a new bond with cade lavellehopes older brother and the heir to the family fortuneshe isnt sure whether the tragic loss they share will unite them or drive them apart but she is willing to open her heart just a little and tryliving so close to those unhappy memories will be more difficult and frightening than tory could ever have expected however because hopes murderer is nearby as well,"['Romance', 'Romance', 'Romantic Suspense', 'Mystery', 'Fiction', 'Romance', 'Contemporary Romance', 'Contemporary', 'Suspense', 'Fantasy', 'Paranormal', 'Womens Fiction', 'Chick Lit', 'Thriller']",1179,4.06,41095,938,515130389
Primal Waters,Steve Alten,"It was the apex predator of all time, the most fearsome creature that ever lived -- a 70-foot, 70,000 pound Great White shark. Hundreds of 7-inch serrated teeth filled jaws that could swallow an elephant whole. It could sense its prey miles away, inhaling its scent as it registered the beat of its fluttering heart, and if you ever came close enough to see the monster...it was already too late.,Eighteen years have passed since Jonas Taylor last crossed paths with carcharodon Megalodon. Now a middle-aged father of two, he is overwhelmed by mountains of bills and the daily strife of raising a family. But life is about to change. A Hollywood television producer wants Jonas to join his new survival series: Daredevils. For the next six weeks, two teams of crazy daredevils on a South Pacific Ocean voyage will try to outperform one another in front of the cameras. Jonas needs the money, and the job of doing the color commentary seems easy enough. But behind the scenes, someone else is pulling the strings. And before it's over, Jonas will again come face to face with the most dangerous creatures ever to stalk the Earth.",it was the apex predator of all time the most fearsome creature that ever lived a 70foot 70000 pound great white shark hundreds of 7inch serrated teeth filled jaws that could swallow an elephant whole it could sense its prey miles away inhaling its scent as it registered the beat of its fluttering heart and if you ever came close enough to see the monsterit was already too lateeighteen years have passed since jonas taylor last crossed paths with carcharodon megalodon now a middleaged father of two he is overwhelmed by mountains of bills and the daily strife of raising a family but life is about to change a hollywood television producer wants jonas to join his new survival series daredevils for the next six weeks two teams of crazy daredevils on a south pacific ocean voyage will try to outperform one another in front of the cameras jonas needs the money and the job of doing the color commentary seems easy enough but behind the scenes someone else is pulling the strings and before its over jonas will again come face to face with the most dangerous creatures ever to stalk the earth,"['Horror', 'Fiction', 'Thriller', 'Science Fiction', 'Action', 'Adventure', 'Animals', 'Fantasy', 'Suspense', 'Audiobook']",1095,3.9,4309,246,765347857
Her Guardian,Sharon Dunn,"Julia Randel was thirteen when she was kidnapped by a cult leader.,It took her seven years to escape. Two years later her captor's trial is about to beginÂ—and so are threats from his loyal followers. Julia is relieved when her father hires bodyguard Gavin Shane, but she's furious when he rushes her to a safe house. After years under lock and key, she doesn't want to be forced into hiding again. But with cultists seeking to stop Julia's testimony at any cost, it'll take both Julia and her determined protector to set her free for a new lifeÂ—and new love.",julia randel was thirteen when she was kidnapped by a cult leaderit took her seven years to escape two years later her captors trial is about to beginand so are threats from his loyal followers julia is relieved when her father hires bodyguard gavin shane but shes furious when he rushes her to a safe house after years under lock and key she doesnt want to be forced into hiding again but with cultists seeking to stop julias testimony at any cost itll take both julia and her determined protector to set her free for a new lifeand new love,"['Love Inspired', 'Love Inspired Suspense', 'Romance', 'Category Romance', 'Love Inspired', 'Suspense', 'Christian', 'Christian Fiction', 'Mystery']",541,4.09,119,17,373444494
Bethlehem Road,Anne Perry,"The gentleman tied to the lamppost on Westminster Bridge is most elegantly attired --- fresh boutonniere, silk hat, white evening scarf --- and he is quite, quite dead, as a result of his thoroughly cut throat.,Why should anyone kill Sir Lockwood Hamilton, that kindest of family men and most conscientious member of Parliament? Before Inspector Thomas Pitt can even speculate on the reasons, a colleague of Sir Lockwood's meets the same fate in the same spot.,Public indignation is boundless, and clever Charlotte Pitt, Thomas's well-born wife, can't resist helping her hard-pressed husband, scouting society's drawing rooms for clues to these appalling crimes. Meanwhile, the Westminster Bridge Cutthroat stalks still another victim ...",the gentleman tied to the lamppost on westminster bridge is most elegantly attired fresh boutonniere silk hat white evening scarf and he is quite quite dead as a result of his thoroughly cut throatwhy should anyone kill sir lockwood hamilton that kindest of family men and most conscientious member of parliament before inspector thomas pitt can even speculate on the reasons a colleague of sir lockwoods meets the same fate in the same spotpublic indignation is boundless and clever charlotte pitt thomass wellborn wife cant resist helping her hardpressed husband scouting societys drawing rooms for clues to these appalling crimes meanwhile the westminster bridge cutthroat stalks still another victim,"['Mystery', 'Historical', 'Historical Fiction', 'Mystery', 'Historical Mystery', 'Fiction', 'Historical', 'Historical', 'Victorian', 'Mystery', 'Crime', 'Thriller', 'Mystery Thriller', 'European Literature', 'British Literature', 'Audiobook']",703,3.93,3686,172,449219143
"Fake, Volume 05",Sanami Matoh,"Contains two stories, one of which centers around JJ and his old friend and police academy buddy, Max. Max was once a good guy, but now he's a bad cop. JJ's faith in his friend (and the system) is put to the test when a shooting goes horribly wrong.",contains two stories one of which centers around jj and his old friend and police academy buddy max max was once a good guy but now hes a bad cop jjs faith in his friend and the system is put to the test when a shooting goes horribly wrong,"['Sequential Art', 'Manga', 'Manga', 'Yaoi', 'Romance', 'Fiction', 'Sequential Art', 'Comics', 'LGBT', 'Sequential Art', 'Graphic Novels', 'Mystery', 'Crime', 'Romance', 'M M Romance', 'GLBT', 'Queer']",239,4.22,1359,24,1591823307
Crimes in Southern Indiana: Stories,Frank Bill,"A ferocious debut that puts Frank Bill's southern Indiana on the literary map next to Cormac McCarthy's eastern Tennessee and Daniel Woodrell's Missouri Ozarks,C,rimes in Southern Indiana ,is the most blistering, vivid, flat-out fearless debut to plow into American literature in recent years. Frank Bill delivers what is both a wake-up call and a gut punch. Welcome to heartland America circa right about now, when the union jobs and family farms that kept the white on the picket fences have given way to meth labs, backwoods gunrunners, and bare-knuckle brawling.,Bill's people are pressed to the brink--and beyond. There is Scoot McCutchen, whose beloved wife falls terminally ill, leaving him with nothing to live for--which doesn't quite explain why he brutally murders her and her doctor and flees, or why, after years of running, he decides to turn himself in. In the title story, a man who has devolved from breeding hounds for hunting to training them for dog-fighting crosses paths with a Salvadoran gangbanger tasked with taking over the rural drug trade, but who mostly wants to grow old in peace. As ,Crimes in Sourthern Indiana ,unfolds, we witness the unspeakable, yet are compelled to find sympathy for the depraved.,Bill's southern Indiana is haunted with the deep, authentic sense of place that recalls the best of Southern fiction, but the interconnected stories bristle with the urban energy of a Chuck Palahniuk or a latter-day Nelson Algren and rush with the slam-bang plotting of pulp-noir crime writing a la Jim Thompson. Bill's prose is gritty yet literary, shocking, and impossible to put down. A dark evocation of the survivalist spirit of the working class, this is a brilliant debut by an important new voice.",a ferocious debut that puts frank bills southern indiana on the literary map next to cormac mccarthys eastern tennessee and daniel woodrells missouri ozarkscrimes in southern indiana is the most blistering vivid flatout fearless debut to plow into american literature in recent years frank bill delivers what is both a wakeup call and a gut punch welcome to heartland america circa right about now when the union jobs and family farms that kept the white on the picket fences have given way to meth labs backwoods gunrunners and bareknuckle brawlingbills people are pressed to the brinkand beyond there is scoot mccutchen whose beloved wife falls terminally ill leaving him with nothing to live forwhich doesnt quite explain why he brutally murders her and her doctor and flees or why after years of running he decides to turn himself in in the title story a man who has devolved from breeding hounds for hunting to training them for dogfighting crosses paths with a salvadoran gangbanger tasked with taking over the rural drug trade but who mostly wants to grow old in peace as crimes in sourthern indiana unfolds we witness the unspeakable yet are compelled to find sympathy for the depravedbills southern indiana is haunted with the deep authentic sense of place that recalls the best of southern fiction but the interconnected stories bristle with the urban energy of a chuck palahniuk or a latterday nelson algren and rush with the slambang plotting of pulpnoir crime writing a la jim thompson bills prose is gritty yet literary shocking and impossible to put down a dark evocation of the survivalist spirit of the working class this is a brilliant debut by an important new voice,"['Short Stories', 'Fiction', 'Mystery', 'Crime', 'Gothic', 'Southern Gothic', 'Mystery', 'Noir', 'American', 'Southern', 'Thriller', 'Mystery Thriller', 'The United States Of America', 'Mystery', 'Thriller']",1685,3.79,2405,271,374532885
